Konu,Soru,Secenek1,Secenek2,Secenek3,Secenek4
Veritabanı,Hangi veritabanını kullanıyorsunuz?,MySql,MongoDB,FireBase,Sql Server
Veritabanı,Veritabanınızda en çok hangi tür veri depolanıyor?,Kullanıcı Bilgileri,Ürün Bilgileri,Finansal Veriler,Diğer
Yapay Zeka,Hangi alanlarda yapay zeka uygulamaları geliştiriyorsunuz?,Görüntü İşleme,Doğal Dil İşleme,Makine Öğrenimi,Robotik
Yapay Zeka,En çok kullandığınız makine öğrenimi algoritması nedir?,K-Means,Decision Trees,Neural Networks,SVM
Oyun Programlama,Hangi oyun motorunu kullanıyorsunuz?,Unity,Unreal Engine,Godot,CryEngine
Oyun Programlama,En sevdiğiniz oyun türü nedir?,FPS,RPG,Strateji,Spor
Oyun Programlama,Oyunlarınızda genellikle hangi platformları hedefliyorsunuz?,PC,PlayStation,Xbox,Mobile
Oyun Programlama,En zorlandığınız oyun geliştirme aşaması nedir?,Grafik Tasarım,Programlama,Oyun Tasarımı,Ses Tasarımı
Mobil Programlama,Hangi mobil platformlarda uygulama geliştiriyorsunuz?,iOS,Android,Cross-platform,Windows Mobile
Mobil Programlama,En çok kullandığınız mobil programlama dili nedir?,Swift,Kotlin,React Native,Xamarin
Mobil Programlama,Hangi SDK'ları kullanıyorsunuz?,Firebase,React Native,Flutter,Android Studio
Yapay Zeka,En sevdiğiniz yapay zeka uygulaması nedir?,Chatbot,Image Recognition,Autonomous Vehicles,Virtual Assistant
Yapay Zeka,Yapay zeka alanında en çok etkilendiğiniz kişi kimdir?,Andrew Ng,Elon Musk,Fei-Fei Li,Yann LeCun
Oyun Programlama,Son oyununuzun konusu nedir?,Fantasy,Sci-Fi,Adventure,Sports
Oyun Programlama,Son oyununuzda en çok gurur duyduğunuz özellik nedir?,Grafik Kalitesi,Gameplay,Storyline,Soundtrack
Mobil Programlama,En sevdiğiniz mobil uygulama nedir?,Instagram,WhatsApp,TikTok,Spotify
Mobil Programlama,Mobil uygulama geliştirirken en çok zorlandığınız konu nedir?,UI/UX Tasarımı,Performans Optimizasyonu,Veritabanı Yönetimi,Backend Entegrasyonu
Veritabanı,En sevdiğiniz veritabanı yönetim sistem nedir?,MySQL,PostgreSQL,SQLite,Oracle
Veritabanı,Veritabanı tasarımında dikkat ettiğiniz en önemli faktör nedir?,Normalization,Indexing,Data Types,Constraints
Oyun Programlama,En sevdiğiniz oyun geliştirme şirketi hangisidir?,Blizzard,EA,Ubisoft,Rockstar
